PRATICA;CERTIFICATO
441051;8800,47
441054;40000
441058;16419,2
441059;8400
441060;40000
441062;40000
441063;40000
441064;40000
441065;28520
441066;31212,61
441069;18129,28
441071;40000
441072;40000
441073;40000
441075;14670,48
441077;10781,86
441081;30954,11
441082;20480
441086;10656
441087;40000
441089;27385,24
441094;10600
441096;40000
441097;40000
441099;40000
441100;40000
441104;20800
441105;32000
441106;40000
441107;40000
441108;40000
441109;38058,06
441111;40000
441112;37043,71
441113;40000
441115;14400
441116;32325,36
441118;40000
441119;40000
441122;40000
441123;36155,2
441130;40000
441132;30400
441133;19600
441134;40000
441135;15000
441136;40000
441137;40000
441138;40000
441139;33200
441140;18092,17
441141;19168,4
441142;21045,46
441146;10800
441147;40000
441149;40000
441150;36441,98
441151;23990,4
441152;18715,2
441153;15000
441157;14043,09
441158;40000
441159;40000
441163;40000
441167;40000
441168;40000
441169;35867,66
441170;40000
441172;30000
441173;14680
441174;40000
441177;40000
441183;21299
441190;40000
441191;10472
441192;8253,16
441194;11866,98
441196;19055,04
441199;40000
441200;30000
441204;40000
441206;24556,23
441210;40000
441211;15000
441212;16000
441218;40000
441220;35450,9
441222;12382,4
441225;14728
441226;40000
441228;40000
441232;32275,2
441235;30830,72
441250;40000
441251;11418,52
441252;40000
441254;20000
441258;16488,4
441259;40000
441260;40000
441261;10438,16
441263;40000
441270;13800
441271;33103,6
441274;30615,69
441276;40000
441281;40000
441283;40000
441284;40000
441285;19545,42
441286;15000
441289;40000
441292;40000
441293;40000
441294;10203,78
441296;40000
441299;37198,5
441300;27600
441304;19842,4
441312;40000
441313;8754,66
441314;28800
441316;39013,82
441320;15000
441326;40000
441328;40000
441331;18000
441333;40000
441336;16560
441341;40000
441344;26658,18
441345;36014,48
441346;26183,52
441347;40000
441348;16000
441349;39840,89
441354;12000
441355;28988,3
441359;40000
441360;39320
441363;32310,79
441364;19660,92
441367;11347,06
441370;16296,69
441372;34315,6
441374;40000
441383;24831,55
441399;18200
441403;9741,2
441406;16800
441407;35591,2
441408;40000
441410;39088,8
441413;36217,18
441415;13454,7
441423;38626
441424;40000
441427;40000
441429;32600
441433;38091,65
441439;30198,2
441441;40000
441443;17216
441446;32400
441448;38240,88
441456;40000
441458;40000
441462;33087,66
441470;40000
441479;12705,6
441480;18455,74
441496;12966,75
441505;20000
441511;32000
441513;40000
441515;40000
441518;31070,32
441520;14890,4
441521;40000
441522;31600
441526;40000
441530;10400
441533;18788,98
441539;10440
441541;40000
441542;21830
441546;7940,45
441549;40000
441555;15000
441558;40000
441566;8063,94
441567;40000
441568;40000
441571;40000
441572;40000
441575;21054,4
441577;40000
441581;17600
441583;11197,6
441586;11133,2
441587;9480
441589;40000
441597;35552
441601;20181,45
441604;40000
441610;16875,55
441613;22400
441614;31926,76
441617;15000
441618;24800
441621;32723,38
441623;36777,6
441625;40000
441626;40000
441634;38938,61
441636;40000
441638;14096
441639;33972,64
441640;15000
441644;34144
441645;40000
441649;33434,06
441650;40000
441654;40000
441656;33532,89
441661;30944,12
441670;10288,32
441674;25450,4
441677;29168,8
441680;17280
441683;32746,34
441701;13493,9
441716;40000
441717;40000
441719;26880
441721;18000
441722;40000
441725;11600
441726;15000
441727;40000
441738;10920
441739;40000
441742;19904,4
441745;16800
441746;40000
441747;17200
441751;18196,29
441766;15000
441771;20000
441772;20800
441780;24612,6
441786;40000
441792;37440
441793;40000
441799;40000
441808;12814,8
441809;15600,9
441810;40000
441811;40000
441821;15200
441824;22000
441825;10080
441830;8902,48
441833;17347,48
441834;40000
441835;38040
441841;18682,03
441843;33158
441844;8992,8
441845;40000
441846;40000
441847;33241,71
441848;40000
441850;9178,4
441851;40000
441866;20000
441869;40000
441871;29490
441872;8400
441876;40000
441877;16000
441883;40000
441884;40000
441887;40000
441888;40000
441890;34631,52
441892;33529,2
441894;19470,76
441895;21800
441896;10831,22
441900;9934,71
441906;40000
441913;12110,48
441915;18768,04
441916;15218,08
441921;11234,92
441931;40000
441933;40000
441935;40000
441937;8354,66
441940;40000
441942;40000
441948;15704,8
441949;21200
441956;40000
441958;15000
441961;40000
441962;24952,48
441964;9170,2
441967;15000
441969;7457,6
441972;15000
441975;17920
441978;28223,01
441980;12899,44
441981;29033,36
441983;40000
441988;15000
441992;15898
